region,regionLabel,iso
http://www.wikidata.org/entity/Q3908,Galicia,ES-GA
http://www.wikidata.org/entity/Q5813,Canary Islands,ES-CN
http://www.wikidata.org/entity/Q7194,province of Girona,ES-GI
http://www.wikidata.org/entity/Q13904,Lleida Province,ES-L
http://www.wikidata.org/entity/Q54932,Ciudad Real Province,ES-CR
http://www.wikidata.org/entity/Q71113,Zamora Province,ES-ZA
http://www.wikidata.org/entity/Q54939,Valencia Province,ES-V
http://www.wikidata.org/entity/Q55269,Palencia Province,ES-P
http://www.wikidata.org/entity/Q55271,Burgos Province,ES-BU
http://www.wikidata.org/entity/Q71097,Valladolid Province,ES-VA
http://www.wikidata.org/entity/Q81972,Córdoba Province,ES-CO
http://www.wikidata.org/entity/Q82142,Granada Province,ES-GR
http://www.wikidata.org/entity/Q95028,Málaga Province,ES-MA
http://www.wikidata.org/entity/Q5748,Castile-La Mancha,ES-CM
http://www.wikidata.org/entity/Q54929,Toledo Province,ES-TO
http://www.wikidata.org/entity/Q54936,Alicante Province,ES-A
http://www.wikidata.org/entity/Q54942,Castellón Province,ES-CS
http://www.wikidata.org/entity/Q54955,Teruel Province,ES-TE
http://www.wikidata.org/entity/Q55182,Huesca Province,ES-HU
http://www.wikidata.org/entity/Q55288,Province of Ávila,ES-AV
http://www.wikidata.org/entity/Q81802,Almería Province,ES-AL
http://www.wikidata.org/entity/Q82119,A Coruña Province,ES-C
http://www.wikidata.org/entity/Q3946,Cantabria,ES-CB
http://www.wikidata.org/entity/Q5739,Castile and León,ES-CL
http://www.wikidata.org/entity/Q5756,Community of Madrid,ES-MD
http://www.wikidata.org/entity/Q24004403,Province of Asturias,ES-O
http://www.wikidata.org/entity/Q5772,Region of Murcia,ES-MC
http://www.wikidata.org/entity/Q81978,Cádiz Province,ES-CA
http://www.wikidata.org/entity/Q95010,Gipuzkoa,ES-SS
http://www.wikidata.org/entity/Q95025,Jaén Province,ES-J
http://www.wikidata.org/entity/Q95086,Pontevedra Province,ES-PO
http://www.wikidata.org/entity/Q99976,Santa Cruz de Tenerife Province,ES-TF
http://www.wikidata.org/entity/Q4040,Aragon,ES-AR
http://www.wikidata.org/entity/Q5823,Ceuta,ES-CE
http://www.wikidata.org/entity/Q24271891,Murcia Province,ES-MU
http://www.wikidata.org/entity/Q54888,Cuenca Province,ES-CU
http://www.wikidata.org/entity/Q3934,Asturias,ES-AS
http://www.wikidata.org/entity/Q4018,Navarre,ES-NA
http://www.wikidata.org/entity/Q4018,Navarre,ES-NC
http://www.wikidata.org/entity/Q5765,Balearic Islands,ES-IB
http://www.wikidata.org/entity/Q54889,Albacete Province,ES-AB
http://www.wikidata.org/entity/Q71080,Salamanca Province,ES-SA
http://www.wikidata.org/entity/Q71140,León Province,ES-LE
http://www.wikidata.org/entity/Q81949,Barcelona Province,ES-B
http://www.wikidata.org/entity/Q98392,Tarragona Province,ES-T
http://www.wikidata.org/entity/Q5720,Valencian Community,ES-VC
http://www.wikidata.org/entity/Q5727,La Rioja,ES-RI
http://www.wikidata.org/entity/Q24004405,Madrid Province,ES-M
http://www.wikidata.org/entity/Q3995,Basque Country,ES-PV
http://www.wikidata.org/entity/Q5705,Catalonia,ES-CT
http://www.wikidata.org/entity/Q5777,Extremadura,ES-EX
http://www.wikidata.org/entity/Q5783,Andalusia,ES-AN
http://www.wikidata.org/entity/Q5831,Melilla,ES-ML
http://www.wikidata.org/entity/Q54925,Guadalajara Province,ES-GU
http://www.wikidata.org/entity/Q55180,Zaragoza Province,ES-Z
http://www.wikidata.org/entity/Q55283,Segovia Province,ES-SG
http://www.wikidata.org/entity/Q81977,Cáceres Province,ES-CC
http://www.wikidata.org/entity/Q95027,Lugo Province,ES-LU
http://www.wikidata.org/entity/Q95038,Ourense Province,ES-OR
http://www.wikidata.org/entity/Q95088,Seville Province,ES-SE
http://www.wikidata.org/entity/Q55276,Soria,ES-SO
http://www.wikidata.org/entity/Q81801,Araba / Álava,ES-VI
http://www.wikidata.org/entity/Q81803,Badajoz Province,ES-BA
http://www.wikidata.org/entity/Q93366,Biscay,ES-BI
http://www.wikidata.org/entity/Q95015,Huelva Province,ES-H
http://www.wikidata.org/entity/Q95080,Las Palmas Province,ES-GC
