response_variable_name	database_identifier	database_namespace	treatment	signal_intensity
AFP	P02771	uniprot	Control 2h	981.2580452999999
FABP1	P07148	uniprot	Control 2h	1305.0092300000001
VIL1	P09327	uniprot	Control 2h	839.7735113
KRT18	P05783	uniprot	Control 2h	604.7802838
	Q9P2E9	uniprot	Control 2h	686.3219778
ANXA4	P09525	uniprot	Control 2h	658.8113189
KRT8	P05787	uniprot	Control 2h	485.25273780000003
MUC13	Q9H3R2	uniprot	Control 2h	496.08812080000007
CDH17	Q12864	uniprot	Control 2h	530.9054165
LGALS3	P17931	uniprot	Control 2h	520.8661023
SERPINA1	P01009	uniprot	Control 2h	351.31767379999997
IDH1	O75874	uniprot	Control 2h	475.2031236
C16orf62	Q7Z3J2	uniprot	Control 2h	579.1362482000001
TTR	P02766	uniprot	Control 2h	398.9218504
FLNB	O75369	uniprot	Control 2h	363.69500639999995
HSPA1B; HSPA1A	P0DMV9	uniprot	Control 2h	183.2844135
RPL4	P36578	uniprot	Control 2h	209.7240937
JUP	P14923	uniprot	Control 2h	304.7205583
CKB	P12277	uniprot	Control 2h	277.17742910000004
SLC9A3R1	O14745	uniprot	Control 2h	168.43039109999998
ALDH1A1	P00352	uniprot	Control 2h	258.68930869999997
PDIA3	P30101	uniprot	Control 2h	63.01098847
KRT20	P35900	uniprot	Control 2h	266.1088696
HSPA5	P11021	uniprot	Control 2h	31.40230148
AHNAK	Q09666	uniprot	Control 2h	157.39856640000002
H1F0	P07305	uniprot	Control 2h	234.4918696
APOA1	P02647	uniprot	Control 2h	367.6818497
GAPDH	P04406	uniprot	Control 2h	267.3612018
OAT	P04181	uniprot	Control 2h	188.6641832
HIST1H1C	P16403	uniprot	Control 2h	227.6327824
SF3A1	Q15459	uniprot	Control 2h	164.699263
ALDH18A1	P54886	uniprot	Control 2h	161.1310629
SUCLG2	Q96I99	uniprot	Control 2h	122.28983249999999
CYP51A1	Q16850	uniprot	Control 2h	208.0590375
DDX5	P17844	uniprot	Control 2h	191.8788324
EEF1A1	P68104	uniprot	Control 2h	180.4294956
NPM1	P06748	uniprot	Control 2h	169.4690181
RPL15	P61313	uniprot	Control 2h	127.5422602
LRPPRC	P42704	uniprot	Control 2h	314.46818010000004
GSTP1	P09211	uniprot	Control 2h	201.0387513
DPP4	P27487	uniprot	Control 2h	196.8160143
HSPA8	P11142	uniprot	Control 2h	130.0722759
MARCKS	P29966	uniprot	Control 2h	68.19855550000001
LGALS3BP	Q08380	uniprot	Control 2h	187.544711
HIST1H1E	P10412	uniprot	Control 2h	204.6252588
PSAP	P07602	uniprot	Control 2h	138.27377119999997
SFPQ	P23246	uniprot	Control 2h	163.4328053
UGDH	O60701	uniprot	Control 2h	159.5274833
DSP	P15924	uniprot	Control 2h	145.48024569999998
RPS5	P46782	uniprot	Control 2h	157.7786391
CTSB	P07858	uniprot	Control 2h	171.06389850000002
RPL35	P42766	uniprot	Control 2h	151.15934380000002
LDHA	P00338	uniprot	Control 2h	211.3633861
TFRC	P02786	uniprot	Control 2h	57.66700889
PDIA6	Q15084	uniprot	Control 2h	168.006318
HNRNPM	P52272	uniprot	Control 2h	194.4886553
CHMP2B	Q9UQN3	uniprot	Control 2h	128.29428240000001
HNRNPA1	P09651	uniprot	Control 2h	198.185235
MDH2	P40926	uniprot	Control 2h	151.2439708
TMBIM6	P55061	uniprot	Control 2h	149.4032454
ACAA2	P42765	uniprot	Control 2h	163.26853799999998
TAGLN2	P37802	uniprot	Control 2h	82.44715637
STIP1	P31948	uniprot	Control 2h	140.4951006
APOE	P02649	uniprot	Control 2h	203.6372721
NCL	P19338	uniprot	Control 2h	10.97019184
EZR	P15311	uniprot	Control 2h	134.787058
EIF4H	Q15056	uniprot	Control 2h	175.0620624
CTNNA1	P35221	uniprot	Control 2h	162.6833515
ATP5E	P56381	uniprot	Control 2h	151.4118575
GLS	O94925	uniprot	Control 2h	128.0301873
EIF4B	P23588	uniprot	Control 2h	127.86853959999999
